Name,Description,Image Link,Price,Rating,Name of store or merchat
"IPhone 12 Garansi Resmi Ibox - Hijau, 64 gb","Green Peel
New Product
Garansi Resmi iBox indonesia

Case yang anda suka:
https://www.tokopedia.com/ptpratamasemesta/case-iphone-12-series

Tambahkan Pelindung Kamera
untuk Hp anda :
https://www.tokopedia.com/ptpratamasemesta/lens-camera-3d-for-iphone?utm_source=whatsapp&amp;utm_medium=share&utm_campaign=PDP-6070464-3452921443-060422


- Prodak Garansi 364 Hari
( Tidak Sampai Setahun )
Pada saat Aktifasi Connect Wifi

yang dipake dan diliat saat Claimb Garansi Adalah
Tgl Estimasi Expired Atau Nota Pembelian

Mohon Melalukan Pengecekan pada saat pembelian - sebelum Aktifasi


Garansi Resmi Apple
Tidak ada Garansi Toko
Dengan Mengaktifkan Prodak , Pembeli Wajib Mengikuti Kebijakan
Dan Garansi yg tertera

imei terdaftar di menko info.

Asesoris Lainnya Ditoko ini:

https://www.tokopedia.com/sonic-phone101/clear-case-with-magsafe-iphone-12-pro-max-iphone-12-12pro-premium-copy

Tambahkan Apple Adapter:
https://www.tokopedia.com/sonic-phone101/Apple-Power-Adapter-20w-usb-c-original

Atau Variasi Lain Dari Adapter 20 watt
Anker Adapter 20 Watt USB-C
https://tokopedia.link/dusS4qrLOgb

Tambahkan AirPods Pro:
https://www.tokopedia.com/sonic-phone101/apple-airpods-pro-garansi-ibox

Tambahkan Apple Earpods:
https://www.tokopedia.com/sonic-phone101/apple-earpods-with-lightning-connector-original


Tambahkan Lamina Tempered Glass:
https://www.tokopedia.com/sonic-phone101/lamina-tempered-glass-premium-iphone

Tambahkan AirPods Gen 2:
https://www.tokopedia.com/sonic-phone101/apple-airpods-with-charging-case-generasi-ke-2-garansi-ibox
",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/2/0450cdc0-4212-4456-bf7e-e4131782cfe5.png.webp?ect=4g,Rp11.399.000,5,PT Pratama Sntra Semesta
Apple iPhone 11 128 GB - Garansi Resmi iBox Apple Indonesia - Promo,"Garansi Resmi iBox Apple Indonesia 1 Tahun

100% Baru dan Segel Asli Apple (Greenpeel)

Imei Terdaftar Resmi di Kemenperin

INFO : iPhone 11 Produksi Baru / Packaging Baru tidak mendapat Headset dan Kepala Charger (isi Box iPhone dan kabel usb c to lightning)

Spesifikasi :

Jaringan GSM / HSPA / LTE
Sistem Operasi iOS 14
Prosesor Apple A13 Bionic (7 nm+), Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder)
GPU Apple GPU (4-core graphics)
RAM 4 GB
Ukuran Layar 6.1 inch
Tipe Layar Liquid Retina IPS LCD capacitive touchscreen, 16M colors, True Tone, Haptic Touch, 625 nits
Resolusi Layar 828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)
Kamera Belakang
Dual 12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
12 MP, f/2.4, 13mm (ultrawide)

Kamera Depan
12 MP, f/2.2, 23mm (wide)
SL 3D camera

Audio Stereo Speakers, Dolby Atmos, Dolby Digital Plus
WLAN Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot
Bluetooth 5.0, A2DP, LE
GPS A-GPS, GLONASS, GALILEO, QZSS
Sensor Face ID, accelerometer, gyro, proximity, compass, barometer, Proximity, Ambient light, Siri natural language commands and dictation
Baterai 3110 mAh
Pengisian Daya Support fast battery charging, USB Power Delivery 2.0, Qi wireless charging
Slot Memori Eksternal No
SIM Dual Nano/eSIM
Berat 194 gr
Dimensi 150.9 x 75.7 x 8.3 mm",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/7/2/cc27f36f-6edf-431f-852a-e570b8e58377.jpg.webp?ect=4g,Rp8.799.000,5,Universe Store
Apple iPhone 11 64 GB - Garansi Resmi iBox Apple Indonesia - Promo,"Garansi Resmi iBox Apple Indonesia 1 Tahun

100% Original Baru dan Segel Greenpeel (Asli Apple)

iPhone Produksi Baru sudah tidak mendapat Adapter dan Headset di dalam box , isi paket penjualan iPhone dan Kabel usb c to lightning

Imei Terdaftar Resmi di Kemenperin

Spesifikasi :

Jaringan GSM / HSPA / LTE
Sistem Operasi iOS 14
Prosesor Apple A13 Bionic (7 nm+), Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder)
GPU Apple GPU (4-core graphics)
RAM 4 GB
Ukuran Layar 6.1 inch
Tipe Layar Liquid Retina IPS LCD capacitive touchscreen, 16M colors, True Tone, Haptic Touch, 625 nits
Resolusi Layar 828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)
Kamera Belakang
Dual 12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
12 MP, f/2.4, 13mm (ultrawide)

Kamera Depan
12 MP, f/2.2, 23mm (wide)
SL 3D camera

Audio Stereo Speakers, Dolby Atmos, Dolby Digital Plus
WLAN Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot
Bluetooth 5.0, A2DP, LE
GPS A-GPS, GLONASS, GALILEO, QZSS
Sensor Face ID, accelerometer, gyro, proximity, compass, barometer, Proximity, Ambient light, Siri natural language commands and dictation
Baterai 3110 mAh
Pengisian Daya Support fast battery charging, USB Power Delivery 2.0, Qi wireless charging
Slot Memori Eksternal No
SIM Dual Nano/eSIM
Berat 194 gr
Dimensi 150.9 x 75.7 x 8.3 mm",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/7/2/11187761-1082-4e85-a4a5-339e60461da5.jpg.webp?ect=4g,Rp7.399.000,5,Universe Store
OPPO A16 Smartphone 3GB/32GB (Garansi Resmi) - A16e Black,"OPPO A16 3/32GB

Warna: Space Silver | Crystal Black

Baterai 5000mAh Tahan Lama
Layar HD+ Eye Care
Tiga Kamera AI

Spesisfikasi :
CPU: MediaTek Helio G35
Kecepatan CPU: hingga 2.3GHz
GPU: IMG GE8320 @ 680 MHz
Dimensi: 163.8 x 75.6 x 8.4mm
Berat: 190g
RAM: 32 GB
ROM: 3 GB
Versi USB: USB 2.0
Ukuran: 6,52"" (16,55 cm)
Rasio Layar: 88,7%
Resolusi: 720x1600 (HD+)

Kamera Belakang : 13+2+2 MP
Kamera Depan : 8MP
Baterai : 5000 mAh
Biometrik : Mendukung Buka Sidik Jari Sisi Samping dan Buka Kunci Wajah

Video Belakang:
Kamera belakang: hingga 1080P@30 fps, dan 720P@30 fps
Zoom video: 1080P @ 30 fps

Konektivitas :
WLAN: Wi-Fi 2,4 GHz, Wi-Fi 5 GHz, Tampilan Wi-Fi
Versi Bluetooth: Bluetooth 5.0
Antarmuka USB: USB Tipe C

Jaringan Seluler : 2G/3G/4G

In The Box :
OPPO A16 x1
Kabel USB x 1
Pengisi daya x1
Alat SIM Ejector x1
Casing Pelindung x1
Panduan memulai cepat x 1
Kartu Garansi x1

-------------------------------------------------------------
OPPO A16e - Online Exclusive

Thickness: 7.85mm
Weight: Approximately 175g
Basic Parameters
Size: 164mmx75.4mmx7.85mm
Color: Blue, White, Black
Operating System: ColorOS 11.1
CPU: Mediatek Helio P22 8 core processor
Battery: 4230mAh
RAM: 3 GB
Storage: 32 GB
External Storage Expendable up to 1TB
Sim: dual sim
Antarmuka USB: Micro-USB

Display
Size: 6.52’’ HD+Screen
Touchscreen: Multi-touch, Capacitive Screen
Refresh Rate: Hz
Colors: million colors
All Day eye care

Camera
Front Camera: 5MP Natural Skin Retouching, AI Pallete
Rear Camera: 13MP Night Filters, Backlit HDR
Optical image stabilization: Yes
Digital image stabilization: Yes
Optical zoom:Yes
Flash: Yes
Video: 1080p resolution
Video Stabilization: Yes
Video Ultra Steady: Yes
5G Network: No
NFC: No

In The Box
OPPO A16e *1
Adapter*1
Micro USB Cable*1
Important Info. Booklet with Warranty Card *1
Quick Start Guide *1
SIM Card Tool *1
Protective Film, pre-applied *1
Case *1",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/15/fbda6968-23fc-455b-a052-7b187dfcf2d4.jpg.webp?ect=4g,Rp1.599.000,4.9,OPPO OFFICIAL STORE
"Samsung Galaxy M32 8/128GB Garansi Resmi 8 GB 128 GB Hitam Biru - Non Bundle, 6/128 Blue","Tersedia juga aksesoris kompatible dengan produk ini:
Anti Gores: https://www.tokopedia.com/distriponsel/anti-gores-jelly-tempered-glass-hydrogel-xiaomi-samsung-vivo-oppo-real
TWS: https://www.tokopedia.com/distriponsel/realme-buds-air-pro-garansi-resmi-realme-original-realme-tws
Powerbank: https://www.tokopedia.com/distriponsel/realme-powerbank-power-bank-2i-10000mah-quick-charge-dual-output

Packing yang lebih aman (Opsional, untuk standar packing kami sudah memakai bubble wrap) :
Ekstra Bubble: https://www.tokopedia.com/distriponsel/ekstra-bubble-wrap-untuk-packing
Packing Kayu: https://www.tokopedia.com/distriponsel/packing-kayu-untuk-handphone


Mengenai varian:
Non Bundle = Tidak dapat bonus yang seperti digambar
Bundle Headset = Dapat bonus headset Pioneer
Bundle Powerbank = Dapat bonus Realme Powerbank 2i
Bundle Hydrogel = Dapat bonus Anti Gores Hydrogel
Bundle Lengkap = Dapat semua bonus yang disebutkan diatas

Tersedia warna:
Hitam dan Biru
Pilihan warna tulis dicatatan saat melakukan checkout!

DISPLAY Type Super AMOLED, 90Hz, 800 nits (HBM)
Size 6.4 inches, 98.9 cm2 (~83.9% screen-to-body ratio)
Resolution 1080 x 2400 pixels, 20:9 ratio (~411 ppi density)
PLATFORM OS Android 11, One UI 3.1
Chipset Mediatek Helio G80 (12 nm)
CPU Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)
GPU Mali-G52 MC2
MEMORY Card slot microSDXC (dedicated slot)
Internal 64GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM
eMMC 5.1
MAIN CAMERA Quad 64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)
Features LED flash, panorama, HDR
Video 1080p@30fps
SELFIE CAMERA Single 20 MP, f/2.2, (wide)
Video 1080p@30fps

NOTE SEBELUM MEMBELI:
- Barang yang dijual adalah BNIB ( Brand New In Box ) kita tidak jual barang bekas ataupun refurbish
- Untuk product Oppo, Vivo dan Realme segel terlebih dahulu kita buka sebelum di kirim, untuk di ambil & di registrasi kartu garansi.",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/10/27/adbfc952-52da-4be3-b5e2-b74c1e16abcf.jpg.webp?ect=4g,Rp2.667.000,4.9,Distributor Ponsel
Samsung Galaxy A03s 4/64 GB Garansi Resmi SEIN - Hitam,"Ready Stok *31 Desember 2021

SIM Dual SIM (Nano-SIM, dual stand-by)
Type PLS LCD
Size 6.5 inches
PLATFORM OS Android 11, One UI 3.1 Core
Chipset MediaTek MT6765 Helio P35 (12nm)
CPU Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)
GPU PowerVR GE8320
MEMORY Internal 64GB 4GB RAM
MAIN CAMERA Triple 13 MP,2 MP,2 MP
SELFIE CAMERA Single 5 MP
BATTERY Type Li-Po 5000 mAh, non-removable
Charging Fast charging 15W",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/9/f5a879d4-149d-4a45-a09d-78551a2e430b.jpg.webp?ect=4g,Rp1.675.000,4.9,Gudang-HP
Xiaomi Redmi Note 10 5G 4/128GB + 6/128GB + 8/128GB Garansi Resmi - 4/128 Grey,"Garansi Resmi Xiaomi indonesia..
IMEI Terdaftar~


NETWORK Technology
GSM / HSPA / LTE / 5G
LAUNCH Announced 2021, March 04
Status Available. Released 2021, April 28
BODY Dimensions 161.8 x 75.3 x 8.9 mm (6.37 x 2.96 x 0.35 in)
Weight 190 g (6.70 oz)
Build Glass front (Gorilla Glass 3), plastic back, plastic frame
SIM Hybrid Dual SIM (Nano-SIM, dual stand-by)
DISPLAY Type IPS LCD, 90Hz, 400 nits (typ), 500 nits (HBM)
Size 6.5 inches, 102.0 cm2 (~83.7% screen-to-body ratio)
Resolution 1080 x 2400 pixels, 20:9 ratio (~405 ppi density)
Protection Corning Gorilla Glass 3
PLATFORM OS Android 11, MIUI 12
Chipset MediaTek MT6833 Dimensity 700 5G (7 nm)
CPU Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)
GPU Mali-G57 MC2
MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM
UFS 2.2
MAIN CAMERA Triple 48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)
Features Dual-LED dual-tone flash, HDR, panorama
Video 1080p@30fps
SELFIE CAMERA Single 8 MP, f/2.0, (wide)
Video 1080p@30fps
SOUND Loudspeaker Yes
3.5mm jack Yes
24-bit/192kHz audio
COMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
Bluetooth 5.1, A2DP, LE
GPS Yes, with A-GPS, GLONASS, GALILEO, BDS
NFC Yes (market/region dependent)
Infrared port Yes
Radio FM radio
USB USB Type-C 2.0
FEATURES Sensors Fingerprint (side-mounted), accelerometer, gyro, proximity, compass
BATTERY Type Li-Po 5000 mAh, non-removable
Charging Fast charging 18W",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/2/e2bf9452-4077-43fc-904c-a8a721fa7580.jpg.webp?ect=4g,Rp2.475.000,5,duniagadgetku
Realme 8 8GB+128GB Garansi Resmi Realme Indonesia - Silver 4G,"Realme 8 8GB+128GB Garansi Resmi Realme Indonesia

Penting
- Garansi Resmi Realme
- Imei Terdaftar di Kemenprin

Kelengkapan
- 1 Buah Handphone
- Charger
- Kabel Usb
- Softcase

Body
Dimensions 160.6 x 73.9 x 8 mm (6.32 x 2.91 x 0.31 in)
Weight 177 g (6.24 oz)
Build Glass front, plastic frame, plastic back
SIM
Dual SIM (Nano-SIM, dual stand-by)
Display
Type Super AMOLED, 1000 nits (peak)
Size 6.4 inches, 98.9 cm2 (~83.3% screen-to-body ratio)
Resolution 1080 x 2400 pixels, 20:9 ratio (~411 ppi density)
Always-on display
Platform
OS Android 11, Realme UI 2.0
Chipset
Mediatek Helio G95 (12 nm)
CPU Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)
GPU Mali-G76 MC4
Memory
Card slot microSDXC (dedicated slot)
Internal 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM
UFS 2.1
Main Camera
Quad 64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF
8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)
Features
LED flash, HDR, panorama
Video 4K@30fps, 1080p@30/60/120fps, gyro-EIS
Selfie camera
Single 16 MP, f/2.5, (wide), 1/3.0"", 1.0µm
Features
HDR, panorama
Video 1080p@30/120fps, gyro-EIS
Sound
Loudspeaker Yes
3.5mm jack Yes
24-bit/192kHz audio
Comms
WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
Bluetooth 5.1, A2DP, LE
GPS Yes, with A-GPS, GLONASS, BDS
NFC Yes
Radio FM radio
USB
USB Type-C 2.0, USB On-The-Go
Features
Sensors Fingerprint (under display, optical), accelerometer, gyro, proximity, compass
Battery
Type Li-Po 5000 mAh, non-removable
",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/26/a7a07a72-2fdc-45cd-b7ac-63b2cd1527bc.jpg.webp?ect=4g,Rp2.773.000,4.9,36shop
"OPPO Reno 6 5G 8/128GB Garansi Resmi Oppo Reno 6 8 GB 128 GB Hitam - 4G Black, Non Bundle","Untuk Produk Xiaomi, Vivo, Realme, Oppo kami repack semua yaa, hanya untuk aktivasi, selebihnya dijamin tidak ada yang ditukar/ganti

Tersedia juga aksesoris kompatible dengan produk ini:
Anti Gores: https://www.tokopedia.com/distriponsel/anti-gores-jelly-tempered-glass-hydrogel-xiaomi-samsung-vivo-oppo-real
TWS: https://www.tokopedia.com/distriponsel/realme-buds-air-pro-garansi-resmi-realme-original-realme-tws
Powerbank: https://www.tokopedia.com/distriponsel/realme-powerbank-power-bank-2i-10000mah-quick-charge-dual-output

Packing yang lebih aman (Opsional, untuk standar packing kami sudah memakai bubble wrap) :
Ekstra Bubble: https://www.tokopedia.com/distriponsel/ekstra-bubble-wrap-untuk-packing
Packing Kayu: https://www.tokopedia.com/distriponsel/packing-kayu-untuk-handphone


Tersedia 3 Tipe di varian (harap perhatikan sblm membeli)
Oppo Reno 6
Oppo Reno 6 5G

KONDISI REPACK

Mengenai varian:
Mengenai varian:
Non Bundle = Tidak dapat bonus yang seperti digambar
Bundle Headset = Dapat bonus headset Pioneer
Bundle Powerbank = Dapat bonus Realme Powerbank 2i
Bundle Hydrogel = Dapat bonus Anti Gores Hydrogel
BundleHTheater: Dapat Reno Wireless Home Threater
Bundle Lengkap = Dapat semua bonus yang disebutkan diatas (Tidak termasuk Home Theater)

Tersedia warna:
Hitam dan Silver


DISPLAY Type AMOLED, 90Hz, 430 nits (typ), 600 nits (HDR), 750 nits (peak)
Size 6.43 inches, 99.8 cm2 (~88.3% screen-to-body ratio)
Resolution 1080 x 2400 pixels, 20:9 ratio (~409 ppi density)
Protection Corning Gorilla Glass 5
PLATFORM OS Android 11, ColorOS 11.3
Chipset MediaTek MT6877 Dimensity 900 5G (6 nm)
CPU Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55)
GPU Mali-G78 MC4
MEMORY Card slot No
Internal 128GB 8GB RAM, 256GB 12GB RAM
UFS 2.1
MAIN CAMERA Triple 64 MP, f/1.7, 26mm (wide), 1/2.0"", 0.7µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
Features LED flash, HDR, panorama
Video 4K@30fps, 1080p@30/60fps",https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2021/12/9/bc2685a7-abb7-4643-8604-c8d699fd66d7.jpg.webp?ect=4g,Rp4.041.000,4.8,Distributor Ponsel
"XIAOMI REDMI NOTE 10S 8/128 GB REDMI NOTE 10S 6/64 GB GARANSI RESMI - 8GB 128GB, Putih","STR STORE
100% ORIGINAL
100% GARANSI RESMI
100% BARU
Imei Terdaftar Kemenprin

Processor Mediatek Helio G95 (12 nm)
OS: Android 11, MIUI 12.5
Layar 6.43"" Super AMOLED FHD+ 1080 x 2400 pixels, 20:9 ratio (~409 ppi density)
HDR 10
Fingerprint Side Sensor
Corning Gorilla Glass 3
Dual Nano SIM Card
Micro SD up to 512GB
4 Kamera Belakang 64 MP + 8 MP + 2 MP + 2 MP
1 Kamera Depan 13 MP
Dual Stereo Speakers
IP53 Splash Proof Resistant
NFC Ready
5000 mAh Lithium Polymer Battery
USB Type C Fast Charging 33W",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/24/f0a41dc2-105e-4031-88a9-aa41e6df92ed.png.webp?ect=4g,Rp2.767.000,5,STR-STORE
